s414 Element 1
1.000000 0.079321
0.983514 0.082461
0.973283 0.084706
0.959467 0.086504
0.944774 0.088301
0.918947 0.091897
0.900241 0.093698
0.881085 0.095949
0.864159 0.097747
0.841893 0.099554
0.797787 0.102713
0.768388 0.104523
0.731867 0.106337
0.677518 0.108166
0.641423 0.108191
0.509106 0.108286
0.453403 0.106535
0.407065 0.104781
0.374092 0.103464
0.345131 0.101248
0.302793 0.097703
0.281844 0.095927
0.263125 0.094154
0.246639 0.091929
0.231043 0.090599
0.203850 0.087041
0.180681 0.083033
0.160621 0.079919
0.141452 0.076354
0.117380 0.071008
0.097308 0.065655
0.079919 0.060302
0.059408 0.053164
0.043348 0.046469
0.031300 0.040666
0.021032 0.033519
0.011655 0.025029
0.002716 0.015200
0.000000 0.000000
0.003545 -0.006708
0.009770 -0.011183
0.018675 -0.015216
0.033807 -0.020145
0.050720 -0.025519
0.071193 -0.030901
0.089447 -0.034490
0.107714 -0.038080
0.128200 -0.041672
0.150466 -0.045265
0.174512 -0.048858
0.200339 -0.052453
0.215923 -0.054254
0.231068 -0.056052
0.247993 -0.057853
0.266699 -0.059654
0.288087 -0.061459
0.309914 -0.063263
0.338424 -0.065073
0.372274 -0.066884
0.418161 -0.068707
0.539784 -0.068792
0.583012 -0.067035
0.611522 -0.065714
0.629350 -0.063492
0.648068 -0.061716
0.663664 -0.059937
0.678383 -0.058161
0.702003 -0.054600
0.721172 -0.051036
0.744354 -0.045689
0.762633 -0.039890
0.776010 -0.034980
0.789839 -0.029178
0.808143 -0.017567
0.821094 -0.006396
0.837179 0.007899
0.849228 0.017728
0.861288 0.027553
0.876020 0.037828
0.894763 0.048543
0.912603 0.057919
0.930895 0.064614
0.943821 0.068628
0.956308 0.072196
0.964783 0.073981
0.975038 0.075760
0.988854 0.077539
1.000000 0.079321
